ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1418322844.72987,template1,0,0,0,0,0,0,0,0,0,0
1418322844.72987,template0,0,0,0,0,0,0,0,0,0,0
1418322844.72987,postgres,0,3,1,108,1672,1114,913,0,0,0
1418322844.72987,dbt3,5,75,0,530,11456,7711,5512,193,1,669
1418322904.73994,template1,0,0,0,0,0,0,0,0,0,0
1418322904.73994,template0,0,0,0,0,0,0,0,0,0,0
1418322904.73994,postgres,0,5,1,108,1730,2040,924,0,0,0
1418322904.73994,dbt3,8,118,0,42256,157071,4015565,9524,1000317,25,673
1418322964.74547,template1,0,0,0,0,0,0,0,0,0,0
1418322964.74547,template0,0,0,0,0,0,0,0,0,0,0
1418322964.74547,postgres,0,7,1,108,1788,2966,935,0,0,0
1418322964.74547,dbt3,14,146,0,1835366,1824801,49021791,12283,36000329,26,673
1418323024.74408,template1,0,0,0,0,0,0,0,0,0,0
1418323024.74408,template0,0,0,0,0,0,0,0,0,0,0
1418323024.74408,postgres,0,9,1,108,1846,3892,946,0,0,0
1418323024.74408,dbt3,13,167,0,2784889,2240081,94028750,15527,36000406,26,673
1418323084.74922,template1,0,0,0,0,0,0,0,0,0,0
1418323084.74922,template0,0,0,0,0,0,0,0,0,0,0
1418323084.74922,postgres,0,11,1,108,1904,4818,957,0,0,0
1418323084.74922,dbt3,10,184,0,4396190,2253558,174034123,17349,36000420,27,673
1418323144.75583,template1,0,0,0,0,0,0,0,0,0,0
1418323144.75583,template0,0,0,0,0,0,0,0,0,0,0
1418323144.75583,postgres,0,13,1,108,1962,5744,968,0,0,0
1418323144.75583,dbt3,7,201,0,4764008,2295053,194039959,19276,36000426,27,673
1418323204.75912,template1,0,0,0,0,0,0,0,0,0,0
1418323204.75912,template0,0,0,0,0,0,0,0,0,0,0
1418323204.75912,postgres,0,15,1,108,2020,6670,979,0,0,0
1418323204.75912,dbt3,10,220,0,6809458,6773878,214044645,20685,116000434,27,673
1418323264.76323,template1,0,0,0,0,0,0,0,0,0,0
1418323264.76323,template0,0,0,0,0,0,0,0,0,0,0
1418323264.76323,postgres,0,17,1,108,2078,7596,990,0,0,0
1418323264.76323,dbt3,9,235,0,7107783,6779320,214049974,22405,116000466,27,673
1418323324.76634,template1,0,0,0,0,0,0,0,0,0,0
1418323324.76634,template0,0,0,0,0,0,0,0,0,0,0
1418323324.76634,postgres,0,19,1,108,2136,8522,1001,0,0,0
1418323324.76634,dbt3,9,249,0,7107783,6782570,214055007,23829,116000466,27,673
1418323384.77031,template1,0,0,0,0,0,0,0,0,0,0
1418323384.77031,template0,0,0,0,0,0,0,0,0,0,0
1418323384.77031,postgres,0,21,1,108,2194,9448,1012,0,0,0
1418323384.77031,dbt3,7,263,0,7107783,6786115,214060552,25442,116000466,27,673
1418323444.77441,template1,0,0,0,0,0,0,0,0,0,0
1418323444.77441,template0,0,0,0,0,0,0,0,0,0,0
1418323444.77441,postgres,0,23,1,108,2252,10374,1023,0,0,0
1418323444.77441,dbt3,9,281,0,11348899,12230024,294065233,26830,266000470,27,673
1418323504.77849,template1,0,0,0,0,0,0,0,0,0,0
1418323504.77849,template0,0,0,0,0,0,0,0,0,0,0
1418323504.77849,postgres,0,25,1,108,2310,11300,1034,0,0,0
1418323504.77849,dbt3,9,299,0,11348899,12233632,294070821,28469,266000470,27,673
1418323564.78549,template1,0,0,0,0,0,0,0,0,0,0
1418323564.78549,template0,0,0,0,0,0,0,0,0,0,0
1418323564.78549,postgres,0,27,1,108,2368,12226,1045,0,0,0
1418323564.78549,dbt3,9,317,0,15063666,12241918,454075771,30118,266000527,29,673
1418323624.78952,template1,0,0,0,0,0,0,0,0,0,0
1418323624.78952,template0,0,0,0,0,0,0,0,0,0,0
1418323624.78952,postgres,0,29,1,108,2426,13152,1056,0,0,0
1418323624.78952,dbt3,7,333,0,15063666,12245741,454081473,31857,266000527,29,673
1418323684.79028,template1,0,0,0,0,0,0,0,0,0,0
1418323684.79028,template0,0,0,0,0,0,0,0,0,0,0
1418323684.79028,postgres,0,31,1,108,2484,14078,1067,0,0,0
1418323684.79028,dbt3,8,346,0,20125284,12252828,754086056,33127,266000533,30,673
1418323744.79185,template1,0,0,0,0,0,0,0,0,0,0
1418323744.79185,template0,0,0,0,0,0,0,0,0,0,0
1418323744.79185,postgres,0,33,1,108,2542,15004,1078,0,0,0
1418323744.79185,dbt3,7,361,0,22655979,12258454,904091254,34669,266000537,30,673
1418323804.80176,template1,0,0,0,0,0,0,0,0,0,0
