ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1418329815.04902,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,3317,2596,2594,15,7380
1418329815.04902,pg_catalog,pg_type,pg_type_typname_nsp_index,99,80,59,7,271
1418329815.04902,pg_catalog,pg_type,pg_type_oid_index,11792,11771,11771,13,24304
1418329815.04902,pg_toast,pg_toast_2619,pg_toast_2619_index,687,1720,1720,4,1321
1418329815.04902,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
1418329815.04902,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1418329815.04902,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1418329815.04902,pg_toast,pg_toast_2618,pg_toast_2618_index,590,1886,1886,4,942
1418329815.04902,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1418329815.04902,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1418329815.04902,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1418329815.04902,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
1418329815.04902,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
1418329815.04902,public,partsupp,pk_partsupp,16,16,16,8,61
1418329815.04902,public,partsupp,partsupp_ps_suppkey_idx,26,26,26,8,101
1418329815.04902,public,region,pk_region,8,8,8,2,9
1418329815.04902,pg_catalog,pg_authid,pg_authid_oid_index,683,683,683,4,1362
1418329815.04902,pg_catalog,pg_authid,pg_authid_rolname_index,680,680,680,4,1356
1418329815.04902,pg_catalog,pg_largeobject,pg_largeobject_loid_pn_index,0,0,0,0,0
1418329815.04902,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0,0,0,0
1418329815.04902,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0,0,0,0
1418329815.04902,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,26720,47826,47826,36,54855
1418329815.04902,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,40,40,40,22,499
1418329815.04902,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,1220,5551,5551,24,3039
1418329815.04902,pg_catalog,pg_proc,pg_proc_oid_index,8307,8307,8307,25,17222
1418329815.04902,public,customer,customer_c_phone_idx,0,0,0,1,7
1418329815.04902,public,customer,pk_customer,28,28,28,6,86
1418329815.04902,public,customer,customer_c_mktsegment_c_custkey_idx,0,0,0,1,7
1418329815.04902,public,customer,customer_c_phone_idx_c_acctbal,0,0,0,1,7
1418329815.04902,public,customer,customer_c_nationkey_c_custkey_idx,0,0,0,1,7
1418329815.04902,pg_catalog,pg_attrdef,pg_attrdef_oid_index,0,0,0,0,0
1418329815.04902,pg_catalog,pg_attrdef,pg_attrdef_adrelid_adnum_index,0,0,0,0,0
1418329815.04902,pg_catalog,pg_constraint,pg_constraint_oid_index,16,8,8,2,38
1418329815.04902,pg_catalog,pg_constraint,pg_constraint_contypid_index,0,0,0,2,14
1418329815.04902,pg_catalog,pg_constraint,pg_constraint_conrelid_index,0,0,0,2,14
1418329815.04902,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,0,0,0,2,14
1418329815.04902,pg_catalog,pg_inherits,pg_inherits_parent_index,0,0,0,0,0
1418329815.04902,pg_catalog,pg_inherits,pg_inherits_relid_seqno_index,11,0,0,1,10
1418329815.04902,pg_catalog,pg_index,pg_index_indexrelid_index,4572,4600,4572,8,5402
1418329815.04902,pg_catalog,pg_index,pg_index_indrelid_index,2217,4238,4238,4,2909
1418329815.04902,pg_catalog,pg_opfamily,pg_opfamily_oid_index,0,0,0,0,0
1418329815.04902,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,0,0,0,0,0
1418329815.04902,pg_catalog,pg_opclass,pg_opclass_oid_index,2184,2184,2184,8,2986
1418329815.04902,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,648,27641,27641,4,1058
1418329815.04902,pg_catalog,pg_am,pg_am_oid_index,0,0,0,0,0
1418329815.04902,pg_catalog,pg_am,pg_am_name_index,0,0,0,0,0
1418329815.04902,pg_catalog,pg_amop,pg_amop_oid_index,0,0,0,0,0
1418329815.04902,pg_catalog,pg_amop,pg_amop_opr_fam_index,1667,4286,4286,10,3833
1418329815.04902,pg_catalog,pg_amop,pg_amop_fam_strat_index,2871,2871,2871,7,6242
1418329815.04902,pg_catalog,pg_amproc,pg_amproc_oid_index,0,0,0,0,0
1418329815.04902,pg_catalog,pg_amproc,pg_amproc_fam_proc_index,2480,4103,4103,13,5757
1418329815.04902,pg_catalog,pg_language,pg_language_oid_index,0,0,0,0,0
1418329815.04902,pg_catalog,pg_language,pg_language_name_index,0,0,0,0,0
1418329815.04902,pg_catalog,pg_largeobject_metadata,pg_largeobject_metadata_oid_index,0,0,0,0,0
1418329815.04902,pg_catalog,pg_aggregate,pg_aggregate_fnoid_index,147,147,147,2,284
1418329815.04902,pg_catalog,pg_rewrite,pg_rewrite_rel_rulename_index,830,833,832,4,1421
1418329815.04902,pg_catalog,pg_rewrite,pg_rewrite_oid_index,3,2,2,2,3
