Linux 3.11.0-17-generic (axle) 	11/12/14 	_x86_64_	(64 CPU)

20:30:14        CPU     %user     %nice   %system   %iowait    %steal     %idle
20:31:14        all      2.19      0.00      1.27      0.06      0.00     96.48
20:32:14        all      1.34      0.00      1.58      0.20      0.00     96.88
20:33:14        all      1.34      0.00      1.40      0.63      0.00     96.63
20:34:14        all      1.83      0.00      1.29      0.05      0.00     96.84
20:35:14        all      1.79      0.00      1.38      0.04      0.00     96.79
20:36:14        all      1.03      0.00      0.67      0.24      0.00     98.07
20:37:14        all      0.97      0.00      0.55      0.07      0.00     98.41
20:38:14        all      1.08      0.00      0.48      0.03      0.00     98.41
20:39:14        all      1.04      0.00      0.19      0.34      0.00     98.43
20:40:14        all      0.16      0.00      0.18      1.18      0.00     98.49
20:41:14        all      0.19      0.00      0.22      1.11      0.00     98.48
20:42:14        all      0.25      0.00      0.27      1.01      0.00     98.47
20:43:14        all      0.34      0.00      0.39      0.84      0.00     98.43
20:44:14        all      0.53      0.00      0.56      0.50      0.00     98.41
20:45:14        all      0.70      0.00      0.73      0.17      0.00     98.41
20:46:14        all      0.75      0.00      0.79      0.05      0.00     98.41
20:47:14        all      0.86      0.00      0.71      0.03      0.00     98.40
20:48:14        all      1.04      0.00      0.53      0.02      0.00     98.41
20:49:14        all      1.03      0.00      0.54      0.01      0.00     98.41
20:50:14        all      1.04      0.00      0.54      0.01      0.00     98.41
20:51:14        all      1.05      0.00      0.54      0.00      0.00     98.40
20:52:14        all      1.04      0.00      0.55      0.00      0.00     98.41
20:53:14        all      1.03      0.00      0.56      0.00      0.00     98.41
20:54:14        all      1.04      0.00      0.55      0.00      0.00     98.41
20:55:14        all      1.05      0.00      0.54      0.00      0.00     98.41
20:56:14        all      1.06      0.00      0.53      0.00      0.00     98.40
20:57:14        all      1.06      0.00      0.53      0.00      0.00     98.41
20:58:14        all      1.06      0.00      0.53      0.00      0.00     98.41
20:59:14        all      1.05      0.00      0.54      0.00      0.00     98.41
21:00:14        all      1.05      0.00      0.55      0.00      0.00     98.40
21:01:14        all      1.05      0.00      0.55      0.00      0.00     98.40
21:02:14        all      1.04      0.00      0.56      0.00      0.00     98.41
21:03:14        all      1.04      0.00      0.55      0.00      0.00     98.41
21:04:14        all      1.05      0.00      0.55      0.00      0.00     98.41
21:05:14        all      1.07      0.00      0.53      0.00      0.00     98.41
21:06:14        all      1.07      0.00      0.53      0.00      0.00     98.40
21:07:14        all      1.06      0.00      0.53      0.00      0.00     98.41
21:08:14        all      1.05      0.00      0.54      0.00      0.00     98.41
21:09:14        all      1.43      0.00      0.16      0.00      0.00     98.41
21:10:14        all      1.54      0.00      0.04      0.00      0.00     98.42
21:11:14        all      0.66      0.00      0.92      0.00      0.00     98.41
21:12:14        all      0.66      0.00      0.93      0.00      0.00     98.41
21:13:14        all      0.65      0.00      0.94      0.00      0.00     98.41
21:14:14        all      0.66      0.00      0.93      0.00      0.00     98.41
21:15:14        all      0.66      0.00      0.93      0.00      0.00     98.41
21:16:14        all      0.66      0.00      0.93      0.00      0.00     98.41
21:17:14        all      0.65      0.00      0.94      0.00      0.00     98.41
21:18:14        all      0.66      0.00      0.93      0.00      0.00     98.41
21:19:14        all      0.66      0.00      0.93      0.00      0.00     98.41
21:20:14        all      0.66      0.00      0.93      0.00      0.00     98.41
21:21:14        all      0.65      0.00      0.94      0.00      0.00     98.41
21:22:14        all      0.65      0.00      0.93      0.00      0.00     98.41
21:23:14        all      0.73      0.00      0.86      0.00      0.00     98.41
21:24:14        all      1.16      0.00      0.42      0.00      0.00     98.42
21:25:14        all      1.16      0.00      0.43      0.00      0.00     98.42
21:26:14        all      1.18      0.00      0.41      0.00      0.00     98.41
21:27:14        all      1.08      0.00      0.48      0.03      0.00     98.41
21:28:14        all      1.37      0.00      0.22      0.00      0.00     98.40
21:29:14        all      1.30      0.00      0.31      0.00      0.00     98.40
21:30:14        all      1.30      0.00      0.31      0.00      0.00     98.38
21:31:14        all      1.29      0.00      0.31      0.00      0.00     98.40
21:32:14        all      1.31      0.00      0.30      0.00      0.00     98.40
21:33:14        all      1.33      0.00      0.27      0.00      0.00     98.40
21:34:14        all      1.33      0.00      0.27      0.00      0.00     98.40
21:35:14        all      1.47      0.00      0.13      0.00      0.00     98.40
21:36:14        all      1.57      0.00      0.03      0.00      0.00     98.40
21:37:14        all      1.57      0.00      0.03      0.00      0.00     98.40
21:38:14        all      1.14      0.00      0.47      0.01      0.00     98.38
21:39:14        all      1.05      0.00      0.57      0.01      0.00     98.38
21:40:14        all      1.06      0.00      0.57      0.00      0.00     98.37
21:41:14        all      1.05      0.00      0.59      0.00      0.00     98.36
21:42:14        all      0.93      0.00      0.67      0.03      0.00     98.37
21:43:14        all      0.87      0.00      0.68      0.04      0.00     98.41
21:44:14        all      1.01      0.00      0.57      0.02      0.00     98.41
21:45:14        all      1.09      0.00      0.49      0.05      0.00     98.37
21:46:14        all      1.10      0.00      0.51      0.03      0.00     98.36
21:47:14        all      1.10      0.00      0.51      0.03      0.00     98.36
21:48:14        all      1.09      0.00      0.52      0.02      0.00     98.37
21:49:14        all      1.07      0.00      0.53      0.01      0.00     98.39
21:50:14        all      1.08      0.00      0.53      0.00      0.00     98.39
21:51:14        all      1.06      0.00      0.55      0.00      0.00     98.38
21:52:14        all      1.02      0.00      0.57      0.01      0.00     98.40
21:53:14        all      0.90      0.00      0.68      0.01      0.00     98.41
21:54:14        all      0.92      0.00      0.67      0.00      0.00     98.41
21:55:14        all      0.91      0.00      0.67      0.00      0.00     98.41
21:56:14        all      0.92      0.00      0.67      0.00      0.00     98.41
21:57:14        all      0.92      0.00      0.67      0.00      0.00     98.41
21:58:14        all      0.90      0.00      0.68      0.00      0.00     98.41
21:59:14        all      0.94      0.00      0.65      0.00      0.00     98.41
22:00:14        all      1.29      0.00      0.30      0.01      0.00     98.40
22:01:14        all      1.52      0.00      0.07      0.00      0.00     98.41
22:02:14        all      1.51      0.00      0.06      0.01      0.00     98.42
22:03:14        all      1.51      0.00      0.07      0.01      0.00     98.42
22:04:14        all      1.51      0.00      0.06      0.00      0.00     98.42
22:05:14        all      1.51      0.00      0.06      0.01      0.00     98.42
22:06:14        all      1.52      0.00      0.06      0.00      0.00     98.42
22:07:14        all      1.53      0.00      0.05      0.00      0.00     98.42
22:08:14        all      1.53      0.00      0.05      0.00      0.00     98.42
22:09:14        all      1.54      0.00      0.04      0.01      0.00     98.41
22:10:14        all      1.53      0.00      0.05      0.00      0.00     98.42
22:11:14        all      1.30      0.00      0.28      0.00      0.00     98.42
22:12:14        all      1.30      0.00      0.28      0.00      0.00     98.42
22:13:14        all      1.21      0.00      0.37      0.00      0.00     98.42
22:14:14        all      1.24      0.00      0.34      0.00      0.00     98.42
22:15:14        all      1.20      0.00      0.39      0.00      0.00     98.42
22:16:14        all      1.17      0.00      0.41      0.01      0.00     98.41
22:17:14        all      1.24      0.00      0.35      0.03      0.00     98.39
22:18:14        all      1.19      0.00      0.39      0.01      0.00     98.42
22:19:14        all      1.51      0.00      0.05      0.01      0.00     98.42
22:20:14        all      1.42      0.00      0.16      0.00      0.00     98.42
22:21:14        all      0.95      0.00      0.64      0.00      0.00     98.41
22:22:14        all      0.83      0.00      0.67      0.08      0.00     98.42
22:23:14        all      1.13      0.00      0.45      0.00      0.00     98.42
22:24:14        all      1.20      0.00      0.37      0.00      0.00     98.43
