ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1418339254.19334,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,7531,5802,5800,303,16345
1418339254.19334,pg_catalog,pg_type,pg_type_typname_nsp_index,133,109,84,44,326
1418339254.19334,pg_catalog,pg_type,pg_type_oid_index,27872,27847,27847,219,57117
1418339254.19334,pg_toast,pg_toast_2619,pg_toast_2619_index,1377,3423,3423,164,2342
1418339254.19334,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
1418339254.19334,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1418339254.19334,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1418339254.19334,pg_toast,pg_toast_2618,pg_toast_2618_index,1366,4370,4370,152,2036
1418339254.19334,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1418339254.19334,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1418339254.19334,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1418339254.19334,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
1418339254.19334,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
1418339254.19334,public,partsupp,pk_partsupp,63534,254040,254040,43586,211558
1418339254.19334,public,partsupp,partsupp_ps_suppkey_idx,319661,24790023,24790023,289672,1058358
1418339254.19334,public,region,pk_region,16,16,16,8,14
1418339254.19334,pg_catalog,pg_authid,pg_authid_oid_index,1538,1538,1538,140,2936
1418339254.19334,pg_catalog,pg_authid,pg_authid_rolname_index,1535,1535,1535,140,2930
1418339254.19334,pg_catalog,pg_largeobject,pg_largeobject_loid_pn_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,59778,102833,102833,496,121848
1418339254.19334,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,41,41,41,28,517
1418339254.19334,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,2849,12799,12799,334,6833
1418339254.19334,pg_catalog,pg_proc,pg_proc_oid_index,19286,19286,19286,591,39464
1418339254.19334,public,customer,customer_c_phone_idx,7,1909946,0,5243,14
1418339254.19334,public,customer,pk_customer,57,15000056,15000056,41030,140
1418339254.19334,public,customer,customer_c_mktsegment_c_custkey_idx,1,3002858,0,11517,8
1418339254.19334,public,customer,customer_c_phone_idx_c_acctbal,7,3818630,0,10454,17
1418339254.19334,public,customer,customer_c_nationkey_c_custkey_idx,10,5999737,0,16420,19
1418339254.19334,pg_catalog,pg_attrdef,pg_attrdef_oid_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_attrdef,pg_attrdef_adrelid_adnum_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_constraint,pg_constraint_oid_index,16,8,8,2,38
1418339254.19334,pg_catalog,pg_constraint,pg_constraint_contypid_index,0,0,0,2,14
1418339254.19334,pg_catalog,pg_constraint,pg_constraint_conrelid_index,0,0,0,2,14
1418339254.19334,pg_catalog,pg_constraint,pg_constraint_conname_nsp_index,0,0,0,2,14
1418339254.19334,pg_catalog,pg_inherits,pg_inherits_parent_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_inherits,pg_inherits_relid_seqno_index,13,0,0,3,10
1418339254.19334,pg_catalog,pg_index,pg_index_indexrelid_index,9435,9463,9435,128,11154
1418339254.19334,pg_catalog,pg_index,pg_index_indrelid_index,4823,9145,9145,141,6178
1418339254.19334,pg_catalog,pg_opfamily,pg_opfamily_oid_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_opfamily,pg_opfamily_am_name_nsp_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_opclass,pg_opclass_oid_index,4649,4649,4649,128,6339
1418339254.19334,pg_catalog,pg_opclass,pg_opclass_am_name_nsp_index,1352,57642,57642,160,2093
1418339254.19334,pg_catalog,pg_am,pg_am_oid_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_am,pg_am_name_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_amop,pg_amop_oid_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_amop,pg_amop_opr_fam_index,3758,9755,9755,230,8464
1418339254.19334,pg_catalog,pg_amop,pg_amop_fam_strat_index,6387,6387,6387,218,13707
1418339254.19334,pg_catalog,pg_amproc,pg_amproc_oid_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_amproc,pg_amproc_fam_proc_index,5430,8903,8903,207,12471
1418339254.19334,pg_catalog,pg_language,pg_language_oid_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_language,pg_language_name_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_largeobject_metadata,pg_largeobject_metadata_oid_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_aggregate,pg_aggregate_fnoid_index,332,332,332,192,456
1418339254.19334,pg_catalog,pg_rewrite,pg_rewrite_rel_rulename_index,1919,1923,1921,140,3152
1418339254.19334,pg_catalog,pg_rewrite,pg_rewrite_oid_index,6,4,4,4,6
1418339254.19334,pg_catalog,pg_trigger,pg_trigger_oid_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_trigger,pg_trigger_tgrelid_tgname_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_trigger,pg_trigger_tgconstraint_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_event_trigger,pg_event_trigger_oid_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_event_trigger,pg_event_trigger_evtname_index,51,0,0,3,48
1418339254.19334,pg_catalog,pg_description,pg_description_o_c_o_index,77,0,0,9,158
1418339254.19334,pg_catalog,pg_cast,pg_cast_source_target_index,23897,8772,8772,144,25259
1418339254.19334,pg_catalog,pg_cast,pg_cast_oid_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_database,pg_database_oid_index,4950,4950,4950,118,6913
1418339254.19334,pg_catalog,pg_database,pg_database_datname_index,3614,3614,3614,122,5569
1418339254.19334,pg_catalog,pg_namespace,pg_namespace_oid_index,38233,38233,38233,157,38722
1418339254.19334,pg_catalog,pg_namespace,pg_namespace_nspname_index,4527,2989,2989,144,5921
1418339254.19334,pg_catalog,pg_conversion,pg_conversion_oid_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_conversion,pg_conversion_name_nsp_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_conversion,pg_conversion_default_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_db_role_setting,pg_db_role_setting_databaseid_rol_index,8324,0,0,46,8278
1418339254.19334,pg_catalog,pg_tablespace,pg_tablespace_spcname_index,0,0,0,2,2
1418339254.19334,pg_catalog,pg_tablespace,pg_tablespace_oid_index,1437,1437,1437,142,2732
1418339254.19334,pg_catalog,pg_pltemplate,pg_pltemplate_name_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_auth_members,pg_auth_members_member_role_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_auth_members,pg_auth_members_role_member_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_shdepend,pg_shdepend_reference_index,13,13,13,6,20
1418339254.19334,pg_catalog,pg_shdepend,pg_shdepend_depender_index,77,0,0,6,84
1418339254.19334,pg_catalog,pg_shdescription,pg_shdescription_o_c_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_ts_config,pg_ts_config_oid_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_ts_config,pg_ts_config_cfgname_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_ts_config_map,pg_ts_config_map_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_ts_dict,pg_ts_dict_oid_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_ts_dict,pg_ts_dict_dictname_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_ts_parser,pg_ts_parser_oid_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_ts_parser,pg_ts_parser_prsname_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_ts_template,pg_ts_template_oid_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_ts_template,pg_ts_template_tmplname_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_extension,pg_extension_name_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_extension,pg_extension_oid_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_foreign_data_wrapper,pg_foreign_data_wrapper_name_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_foreign_data_wrapper,pg_foreign_data_wrapper_oid_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_foreign_server,pg_foreign_server_name_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_foreign_server,pg_foreign_server_oid_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_foreign_table,pg_foreign_table_relid_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_rowsecurity,pg_rowsecurity_polname_relid_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_rowsecurity,pg_rowsecurity_oid_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_default_acl,pg_default_acl_oid_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_default_acl,pg_default_acl_role_nsp_obj_index,52,0,0,3,49
1418339254.19334,pg_catalog,pg_seclabel,pg_seclabel_object_index,77,0,0,3,74
1418339254.19334,pg_catalog,pg_shseclabel,pg_shseclabel_object_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_collation,pg_collation_oid_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_collation,pg_collation_name_enc_nsp_index,0,0,0,0,0
1418339254.19334,pg_catalog,pg_range,pg_range_rngtypid_index,29,0,0,36,22
1418339254.19334,public,orders,pk_orders,2,300230664,300230664,822384,601244
1418339254.19334,public,orders,orders_o_orderkey_o_orderdate_idx,51390865,48609399,48609399,24662838,181776082
1418339254.19334,public,orders,orders_o_orderdate_idx_brin,4,101416320,0,2028,301027
1418339254.19334,pg_toast,pg_toast_12105,pg_toast_12105_index,0,0,0,0,0
1418339254.19334,pg_toast,pg_toast_12110,pg_toast_12110_index,0,0,0,0,0
1418339254.19334,pg_toast,pg_toast_12115,pg_toast_12115_index,0,0,0,0,0
1418339254.19334,public,supplier,pk_supplier,32922180,34266147,34266147,6442,98946196
1418339254.19334,public,supplier,supplier_s_suppkey_idx_like,1,479,479,14,9
1418339254.19334,public,supplier,supplier_s_nationkey_s_suppkey_idx,3,120041,0,348,9
1418339254.19334,public,lineitem,lineitem_l_orderkey_idx_l_returnflag,1,148215037,148215037,406453,592239
1418339254.19334,public,lineitem,lineitem_l_partkey_l_quantity_l_shipmode_idx,7049680,208441576,208441576,4494627,27179240
1418339254.19334,public,lineitem,pk_lineitem,0,0,0,4696,2403653
1418339254.19334,public,lineitem,lineitem_l_orderkey_idx_part1,12845290,773859562,773859562,8907230,46117005
1418339254.19334,public,lineitem,lineitem_l_shipdate_idx_brin,4,426712960,0,8496,896912
1418339254.19334,public,lineitem,lineitem_l_orderkey_idx,77,600359380,600359380,1646475,2403884
