BEGIN;
BEGIN
select
	nation,
	o_year,
	sum(amount) as sum_profit
from
	(
		select
			n_name as nation,
			extract(year from o_orderdate) as o_year,
			l_extendedprice * (1 - l_discount) - ps_supplycost * l_quantity as amount
		from
			part,
			supplier,
			lineitem,
			partsupp,
			orders,
			nation
		where
			s_suppkey = l_suppkey
			and ps_suppkey = l_suppkey
			and ps_partkey = l_partkey
			and p_partkey = l_partkey
			and o_orderkey = l_orderkey
			and s_nationkey = n_nationkey
			and p_name like '%sandy%'
	) as profit
group by
	nation,
	o_year
order by
	nation,
	o_year desc;
          nation           | o_year |    sum_profit    
---------------------------+--------+------------------
 ALGERIA                   |   1998 |   2742509428.336
 ALGERIA                   |   1997 | 4646891062.64256
 ALGERIA                   |   1996 | 4706874009.06412
 ALGERIA                   |   1995 | 4676569165.02482
 ALGERIA                   |   1994 | 4668286094.45358
 ALGERIA                   |   1993 | 4677555187.02866
 ALGERIA                   |   1992 | 4682544999.04945
 ARGENTINA                 |   1998 | 2716980438.98736
 ARGENTINA                 |   1997 | 4653381415.99658
 ARGENTINA                 |   1996 | 4669096585.79754
 ARGENTINA                 |   1995 |  4634238492.7009
 ARGENTINA                 |   1994 | 4663797428.02308
 ARGENTINA                 |   1993 |  4649811815.9599
 ARGENTINA                 |   1992 | 4651262052.18577
 BRAZIL                    |   1998 |  2744518749.0651
 BRAZIL                    |   1997 | 4664715937.67974
 BRAZIL                    |   1996 | 4674985074.69356
 BRAZIL                    |   1995 | 4684557161.06394
 BRAZIL                    |   1994 | 4656840398.00797
 BRAZIL                    |   1993 | 4669388920.23054
 BRAZIL                    |   1992 | 4708102229.97569
 CANADA                    |   1998 | 2729099349.35335
 CANADA                    |   1997 | 4663120021.70293
 CANADA                    |   1996 | 4678949407.59096
 CANADA                    |   1995 |  4648181691.2787
 CANADA                    |   1994 | 4685047867.96028
 CANADA                    |   1993 | 4644968515.43439
 CANADA                    |   1992 | 4654381511.27414
 CHINA                     |   1998 | 2732904609.42808
 CHINA                     |   1997 | 4659289667.03973
 CHINA                     |   1996 | 4666757941.67024
 CHINA                     |   1995 | 4669001705.22248
 CHINA                     |   1994 | 4652390890.08522
 CHINA                     |   1993 | 4650612053.46234
 CHINA                     |   1992 | 4678994200.86666
 EGYPT                     |   1998 | 2760606325.00356
 EGYPT                     |   1997 |  4644803802.3359
 EGYPT                     |   1996 |  4664732817.4266
 EGYPT                     |   1995 | 4651536232.94109
 EGYPT                     |   1994 | 4652629729.05054
 EGYPT                     |   1993 | 4656417852.31371
 EGYPT                     |   1992 |  4672056821.1902
 ETHIOPIA                  |   1998 | 2749936529.26756
 ETHIOPIA                  |   1997 | 4701744828.24524
 ETHIOPIA                  |   1996 | 4708015200.97158
 ETHIOPIA                  |   1995 | 4698349118.10986
 ETHIOPIA                  |   1994 | 4702945688.17123
 ETHIOPIA                  |   1993 | 4697802421.44415
 ETHIOPIA                  |   1992 | 4709656558.68318
 FRANCE                    |   1998 | 2732932627.51084
 FRANCE                    |   1997 | 4690967018.38207
 FRANCE                    |   1996 |  4700225330.2106
 FRANCE                    |   1995 | 4656552333.51042
 FRANCE                    |   1994 | 4687155254.25107
 FRANCE                    |   1993 | 4677444218.20529
 FRANCE                    |   1992 |  4694505456.7539
 GERMANY                   |   1998 | 2741905048.20186
 GERMANY                   |   1997 | 4689146843.14095
 GERMANY                   |   1996 | 4695814392.46851
 GERMANY                   |   1995 | 4677028354.54316
 GERMANY                   |   1994 |  4693541112.7229
 GERMANY                   |   1993 | 4698830227.61842
 GERMANY                   |   1992 | 4699161359.49911
 INDIA                     |   1998 | 2754443607.96651
 INDIA                     |   1997 | 4695836295.51588
