# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1418339314;-28115.63;2.35;22513.35
axle;60;1418339374;-20637.88;0.73;19207.35
axle;60;1418339434;-77.37;-26.95;-1526.38
axle;60;1418339494;43.53;-22.83;-1789.08
axle;60;1418339554;-40.17;-0.50;-2961.80
axle;60;1418339614;-20.75;-9.23;1164.23
axle;60;1418339674;1036.33;-0.13;935.52
axle;60;1418339734;-924.18;-18.52;279.68
axle;60;1418339794;531.42;-9.27;-2061.08
axle;60;1418339854;787.90;-3.83;-1687.25
axle;60;1418339914;2546.92;1.00;-2555.23
axle;60;1418339974;1444.58;1.10;1765.48
axle;60;1418340034;-2661.35;1.13;-824.80
axle;60;1418340094;-2646.57;0.73;-2448.57
axle;60;1418340154;6297.88;0.68;-8215.18
axle;60;1418340214;7820.22;2.20;-9170.42
axle;60;1418340274;18607.42;1.88;-7820.48
axle;60;1418340334;5111.65;1.00;-7728.60
axle;60;1418340394;9161.47;1.05;-6411.50
axle;60;1418340454;9334.67;1.02;-10782.08
axle;60;1418340514;7321.65;0.93;-8614.97
axle;60;1418340574;7528.32;1.03;-5337.10
axle;60;1418340634;-4165.95;1.03;1825.68
axle;60;1418340694;-14132.08;2.85;3937.07
axle;60;1418340754;-9548.12;0.82;1208.03
axle;60;1418340814;-3463.07;0.93;-1939.73
axle;60;1418340874;-9180.85;0.98;184.47
axle;60;1418340934;-8117.50;0.50;4.98
axle;60;1418340994;-7650.90;0.83;82.28
axle;60;1418341054;-5912.20;0.13;33.75
axle;60;1418341114;-622.72;0.88;483.05
axle;60;1418341174;-7237.17;0.50;3255.25
axle;60;1418341234;-1250.87;-2.60;-7818.55
axle;60;1418341294;360.28;-21.07;-7045.85
axle;60;1418341354;-405.13;-10.23;-6423.62
axle;60;1418341414;5.42;-3.05;-6174.23
axle;60;1418341474;54072.97;-6.38;439.07
axle;60;1418341534;-10478.75;1.08;2322.23
axle;60;1418341594;-7706.40;0.43;1030.17
axle;60;1418341654;-8181.58;0.78;1455.53
axle;60;1418341714;-3164.10;0.87;1320.12
axle;60;1418341774;-8923.65;0.92;10433.18
axle;60;1418341834;-3968.93;0.98;2837.42
axle;60;1418341894;-11597.15;-0.37;10012.25
axle;60;1418341954;115.68;-0.33;-55.03
axle;60;1418342014;7980.92;0.30;-8384.80
axle;60;1418342074;-8096.98;-0.73;6681.68
